Bahrain, 15, 0
Iran, 128, 1
Iraq, 4351, 427
Israel, 867, 103
Jordan, 82, 3
Kuwait, 43, 2
Lebanon, 643, 23
Persian Gulf, 1, 0
Qatar, 1, 1
Saudi Arabia, 52, 10
Syria, 21, 0
Trucial Oman States, 1, 0
Turkey, 1156, 22
United Arab Emirates, 8, 1
West Bank/Gaza, 1953, 51
Yemen, 122, 1
